"Date","Price","Open","High","Low","Change %"
"Jun 19, 2011","1.1245","1.1323","1.1380","1.1164","-0.64%"
"Jun 12, 2011","1.1318","1.1330","1.1470","1.1286","0.03%"
"Jun 05, 2011","1.1315","1.1225","1.1330","1.1137","0.80%"
"May 29, 2011","1.1225","1.1512","1.1555","1.1203","-2.60%"
"May 22, 2011","1.1525","1.1478","1.1618","1.1422","0.52%"
"May 15, 2011","1.1465","1.1488","1.1522","1.1302","-0.05%"
"May 08, 2011","1.1471","1.1392","1.1533","1.1336","0.27%"
"May 01, 2011","1.1440","1.1266","1.1440","1.1056","1.37%"
"Apr 24, 2011","1.1285","1.1348","1.1357","1.1185","-0.50%"
"Apr 17, 2011","1.1342","1.1312","1.1440","1.1258","0.28%"
"Apr 10, 2011","1.1310","1.1325","1.1378","1.1202","-0.04%"
"Apr 03, 2011","1.1315","1.1320","1.1481","1.1299","-0.07%"
"Mar 27, 2011","1.1323","1.1393","1.1429","1.1291","-0.57%"
"Mar 20, 2011","1.1388","1.1437","1.1559","1.1342","-0.56%"
"Mar 13, 2011","1.1452","1.1515","1.1595","1.1410","-0.95%"
"Mar 06, 2011","1.1562","1.1628","1.1720","1.1547","-0.64%"
"Feb 27, 2011","1.1637","1.1708","1.1822","1.1612","-0.73%"
"Feb 20, 2011","1.1722","1.1864","1.1931","1.1634","-1.14%"
"Feb 13, 2011","1.1857","1.1834","1.1971","1.1814","0.35%"
"Feb 06, 2011","1.1816","1.1868","1.1923","1.1717","-0.30%"
"Jan 30, 2011","1.1852","1.1659","1.1875","1.1597","1.73%"
"Jan 23, 2011","1.1650","1.1727","1.1778","1.1525","-0.86%"
"Jan 16, 2011","1.1751","1.1855","1.2003","1.1721","-0.92%"
"Jan 09, 2011","1.1860","1.2048","1.2071","1.1762","-1.57%"
"Jan 02, 2011","1.2049","1.1661","1.2053","1.1559","3.32%"
"Dec 26, 2010","1.1662","1.1771","1.1798","1.1559","-0.93%"
"Dec 19, 2010","1.1771","1.1760","1.1842","1.1723","-0.08%"
"Dec 12, 2010","1.1780","1.1967","1.1986","1.1690","-1.43%"
"Dec 05, 2010","1.1951","1.1779","1.1970","1.1745","1.60%"
"Nov 28, 2010","1.1763","1.1733","1.2003","1.1725","-0.11%"
"Nov 21, 2010","1.1776","1.1650","1.1881","1.1629","0.81%"
"Nov 14, 2010","1.1681","1.1777","1.1833","1.1664","-0.86%"
"Nov 07, 2010","1.1782","1.1524","1.1839","1.1499","2.19%"
"Oct 31, 2010","1.1529","1.1488","1.1562","1.1337","0.26%"
"Oct 24, 2010","1.1499","1.1224","1.1539","1.1180","2.29%"
"Oct 17, 2010","1.1242","1.1435","1.1493","1.1221","-1.74%"
"Oct 10, 2010","1.1441","1.1403","1.1504","1.1309","-0.08%"
"Oct 03, 2010","1.1450","1.1459","1.1595","1.1353","-0.17%"
"Sep 26, 2010","1.1469","1.1730","1.1814","1.1463","-2.20%"
"Sep 19, 2010","1.1727","1.1992","1.2004","1.1653","-2.10%"
"Sep 12, 2010","1.1978","1.2081","1.2092","1.1897","-1.06%"
"Sep 05, 2010","1.2106","1.1978","1.2197","1.1912","1.07%"
"Aug 29, 2010","1.1978","1.2167","1.2256","1.1971","-1.50%"
"Aug 22, 2010","1.2160","1.2226","1.2288","1.2134","-0.52%"
"Aug 15, 2010","1.2224","1.2203","1.2242","1.2067","-0.06%"
"Aug 08, 2010","1.2231","1.2027","1.2239","1.1953","1.88%"
"Aug 01, 2010","1.2005","1.2038","1.2119","1.1988","-0.12%"
"Jul 25, 2010","1.2020","1.1946","1.2047","1.1876","0.50%"
"Jul 18, 2010","1.1960","1.1852","1.2026","1.1713","1.16%"
"Jul 11, 2010","1.1823","1.1909","1.2030","1.1813","-0.82%"
"Jul 04, 2010","1.1921","1.2098","1.2121","1.1902","-1.48%"
"Jun 27, 2010","1.2100","1.2162","1.2399","1.2043","-0.59%"
"Jun 20, 2010","1.2172","1.1941","1.2229","1.1924","1.68%"
"Jun 13, 2010","1.1971","1.2004","1.2108","1.1921","-0.30%"
"Jun 06, 2010","1.2007","1.2070","1.2186","1.1990","-0.57%"
"May 30, 2010","1.2076","1.1752","1.2127","1.1726","2.43%"
"May 23, 2010","1.1789","1.1524","1.1880","1.1522","2.45%"
"May 16, 2010","1.1507","1.1756","1.1820","1.1391","-2.16%"
"May 09, 2010","1.1761","1.1480","1.1845","1.1422","1.40%"
"May 02, 2010","1.1599","1.1479","1.1873","1.1350","1.01%"
"Apr 25, 2010","1.1483","1.1525","1.1633","1.1445","-0.06%"
"Apr 18, 2010","1.1490","1.1343","1.1622","1.1302","0.98%"
"Apr 11, 2010","1.1379","1.1339","1.1438","1.1275","-0.10%"
"Apr 04, 2010","1.1390","1.1311","1.1489","1.1281","1.14%"
"Mar 28, 2010","1.1262","1.1079","1.1313","1.1079","1.35%"
"Mar 21, 2010","1.1112","1.1080","1.1242","1.1050","0.18%"
"Mar 14, 2010","1.1092","1.1012","1.1220","1.0949","0.53%"
"Mar 07, 2010","1.1033","1.1098","1.1117","1.0943","-0.71%"
"Feb 28, 2010","1.1112","1.1120","1.1154","1.0921","-0.72%"
"Feb 21, 2010","1.1193","1.1346","1.1432","1.1139","-1.50%"
"Feb 14, 2010","1.1363","1.1512","1.1549","1.1353","-1.38%"
"Feb 07, 2010","1.1522","1.1408","1.1557","1.1303","0.69%"
"Jan 31, 2010","1.1443","1.1500","1.1519","1.1396","-0.86%"
"Jan 24, 2010","1.1542","1.1373","1.1627","1.1363","1.31%"
"Jan 17, 2010","1.1393","1.1332","1.1563","1.1316","0.76%"
"Jan 10, 2010","1.1307","1.1132","1.1353","1.1072","1.70%"
