Date,Open,High,Low,Close
07/07/20,6285.94,6285.94,6179.97,6189.9
07/06/20,6157.3,6304.19,6157.3,6285.94
07/03/20,6240.36,6262.71,6137.09,6157.3
07/02/20,6157.96,6258.6,6157.96,6240.36
07/01/20,6169.74,6201.95,6084.48,6157.96
06/30/20,6225.77,6237.51,6146.98,6169.74
06/29/20,6159.3,6251.96,6122.95,6225.77
06/26/20,6147.14,6262.13,6147.14,6159.3
06/25/20,6123.69,6162.44,6029.25,6147.14
06/24/20,6320.12,6320.12,6123.69,6123.69
06/23/20,6244.62,6342.19,6244.62,6320.12
06/22/20,6292.6,6309.04,6225.53,6244.62
06/19/20,6224.07,6319.81,6224.07,6292.6
06/18/20,6253.25,6284.96,6184.88,6224.07
06/17/20,6242.79,6309.74,6233.24,6253.25
06/16/20,6064.7,6299.02,6064.7,6242.79
06/15/20,6105.18,6105.18,5952.44,6064.7
06/12/20,6076.7,6184.29,5993.2,6105.18
06/11/20,6329.13,6329.13,6076.7,6076.7
06/10/20,6335.72,6387.35,6293.83,6329.13
06/09/20,6472.59,6475.01,6325.07,6335.72
06/08/20,6484.3,6511.84,6423.06,6472.59
06/05/20,6341.44,6489.99,6341.44,6484.3
06/04/20,6382.41,6402.57,6314.59,6341.44
06/03/20,6220.14,6394.7,6220.14,6382.41
06/02/20,6166.42,6238.25,6165.05,6220.14
06/01/20,6076.6,6179.34,6076.6,6166.42
05/29/20,6218.79,6218.79,6060.16,6076.6
05/28/20,6144.25,6234.04,6144.25,6218.79
05/27/20,6067.76,6167.96,6067.76,6144.25
05/26/20,5993.28,6130.12,5993.28,6067.76
05/22/20,6015.25,6015.25,5888.58,5993.28
05/21/20,6067.16,6093.74,6004.1,6015.25
05/20/20,6002.23,6074.46,5961.56,6067.16
05/19/20,6048.59,6111.96,5965.1,6002.23
05/18/20,5799.77,6058.17,5799.61,6048.59
05/15/20,5741.54,5837.88,5741.54,5799.77
05/14/20,5904.05,5904.05,5661.14,5741.54
05/13/20,5994.77,5994.77,5893.35,5904.05
05/12/20,5939.73,6012.98,5911.37,5994.77
05/11/20,5935.98,5999.13,5898.32,5939.73
05/07/20,5853.76,5941.86,5853.6,5935.98
05/06/20,5849.42,5897.44,5839.57,5853.76
05/05/20,5753.78,5869.45,5753.78,5849.42
05/04/20,5763.06,5792.85,5702.03,5753.78
05/01/20,5901.21,5901.21,5746.06,5763.06
04/30/20,6115.25,6151.58,5897.91,5901.21
04/29/20,5958.5,6129.6,5950.83,6115.25
04/28/20,5846.79,5977.76,5835.92,5958.5
04/27/20,5752.23,5855.61,5752.23,5846.79
04/24/20,5826.61,5827.24,5728.8,5752.23
04/23/20,5770.63,5843.61,5735.93,5826.61
04/22/20,5641.03,5777.06,5641.03,5770.63
04/21/20,5812.83,5812.83,5641.03,5641.03
04/20/20,5786.96,5823.93,5707.73,5812.83
04/17/20,5628.43,5839.33,5628.43,5786.96
04/16/20,5597.65,5657.63,5577.78,5628.43
04/15/20,5791.31,5791.71,5576.35,5597.65
04/14/20,5842.66,5894.71,5778.98,5791.31
04/13/20,5842.66,5842.66,5842.66,5842.66
04/10/20,5842.66,5842.66,5842.66,5842.66
04/09/20,5677.73,5842.66,5677.68,5842.66
04/08/20,5704.45,5704.45,5589.73,5677.73
04/07/20,5582.39,5780.21,5582.39,5704.45
04/06/20,5415.5,5590.58,5415.5,5582.39
04/03/20,5480.22,5486.29,5396.66,5415.5
04/02/20,5454.57,5552.36,5395.07,5480.22
04/01/20,5671.96,5671.96,5414.72,5454.57
03/31/20,5563.74,5702.66,5545.85,5671.96
03/30/20,5510.33,5567.2,5351.84,5563.74
03/27/20,5815.73,5815.73,5407.06,5510.33
03/26/20,5688.2,5815.73,5503.35,5815.73
03/25/20,5446.01,5741.42,5400.47,5688.2
03/24/20,4993.89,5446.01,4993.89,5446.01
03/23/20,5190.78,5194.83,4922.76,4993.89
03/20/20,5151.61,5419.3,5151.61,5190.78
03/19/20,5080.58,5181.04,4942.37,5151.61
03/18/20,5294.9,5294.9,5006.2,5080.58
03/17/20,5151.08,5308.95,4978.84,5294.9
03/16/20,5366.11,5366.11,4898.79,5151.08
03/13/20,5237.48,5696.48,5237.48,5366.11
03/12/20,5876.52,5876.52,5237.48,5237.48
03/11/20,5960.23,6088.5,5860.75,5876.52
03/10/20,5965.77,6231.06,5927.85,5960.23
03/09/20,6462.55,6462.55,5891.56,5965.77
03/06/20,6705.43,6705.43,6431.44,6462.55
03/05/20,6815.59,6834.12,6662.61,6705.43
03/04/20,6718.2,6856.27,6700.23,6815.59
03/03/20,6654.89,6846.28,6654.89,6718.2
